,Location,Total sqft,price,area_type,availability,bhk,type,housing_type
134,Malad West,1150,241.0,Built-up  Area,Ready To Move,3,BHK,Apartment
135,Malad West,501,105.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
136,Malad West,623,130.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
137,Malad West,631,132.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
138,Malad West,744,156.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
139,Panvel,868,129.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
140,Panvel,687,107.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
141,Panvel,636,100.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
142,Panvel,691,108.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
143,Panvel,674,106.0,Plot  Area,Not Ready Yet,2,BHK,Apartment
144,Panvel,680,106.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
145,Panvel,631,99.5,Super built-up  Area,Ready To Move,2,BHK,Apartment
146,Panvel,862,120.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
147,Panvel,682,106.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
148,Panvel,616,97.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
149,Neral,368,21.23,Plot  Area,Ready To Move,1,BHK,Apartment
150,Chembur,735,195.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
151,Taloja,990,45.45,Super built-up  Area,Ready To Move,2,BHK,Apartment
152,Taloja,695,31.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
153,Dombivali,576,60.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
154,Dombivali,576,60.0,Built-up  Area,Ready To Move,2,BHK,Apartment
155,Dombivali,433,45.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
156,Dombivali,433,45.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
157,Dombivali,694,71.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
158,Dombivali,694,71.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
159,Kharghar,1835,220.00000000000003,Super built-up  Area,Ready To Move,3,BHK,Apartment
