,Location,Total sqft,price,area_type,availability,bhk,type,housing_type
1465,Andheri West,1600,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1466,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1467,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1468,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1469,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1470,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1471,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1472,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1473,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1474,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1475,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1476,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1477,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1478,Dombivli (West),600,45.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1479,Andheri West,651,20.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1480,Taloja,600,23.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1481,Taloja,850,33.6,Super built-up  Area,Ready To Move,2,BHK,Apartment
1482,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1483,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1484,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1485,Juhu,5500,2350.0,Super built-up  Area,Not Ready Yet,6,BHK,Apartment
1486,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1487,Lower Parel,3300,1200.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1488,Andheri West,1600,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1489,Ambernath East,788,30.0,Plot  Area,Not Ready Yet,1,BHK,Apartment
1490,Dombivali,1112,87.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1491,Andheri West,651,20.0,Plot  Area,Ready To Move,1,BHK,Apartment
1492,Andheri West,1600,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1493,Andheri West,1600,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1494,Kurla East,648,95.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1495,Dombivali East,585,28.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1496,Andheri East,750,225.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1497,Vashi,415,65.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1498,Deonar,550,39.9,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1499,Ambernath West,784,33.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1500,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1501,Andheri West,1601,20.0,Plot  Area,Ready To Move,5,BHK,IndependentFloor
1502,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1503,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1504,Goregaon East,700,89.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1505,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1506,Dombivali East,510,28.05,Super built-up  Area,Ready To Move,1,BHK,Apartment
1507,Dombivali East,510,28.05,Super built-up  Area,Ready To Move,1,BHK,Apartment
1508,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1509,Vikhroli,533,88.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1510,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1511,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1512,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
1513,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1514,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1515,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1516,Andheri West,1601,20.0,Super built-up  Area,Not Ready Yet,5,BHK,IndependentFloor
1517,Kandivali East,250,55.0,Plot  Area,Ready To Move,1,BHK,Apartment
1518,Parel,420,95.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1519,Borivali West,810,64.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1520,Badlapur West,640,23.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1521,Badlapur West,640,23.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1522,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1523,Karanjade,1200,32.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1524,Badlapur West,640,23.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1525,Karanjade,1200,32.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1526,Karanjade,1200,32.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1527,Karanjade,1200,32.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1528,Karanjade,1200,32.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1529,Andheri West,1601,20.0,Built-up  Area,Ready To Move,5,BHK,IndependentFloor
1530,Matunga,1300,399.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1531,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1532,Andheri West,651,20.0,Plot  Area,Not Ready Yet,1,BHK,Apartment
1533,Andheri East,715,165.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1534,Andheri East,715,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1535,Andheri East,715,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1536,Andheri East,715,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1537,Andheri East,715,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1538,Andheri East,715,165.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1539,Andheri West,1601,20.0,Carpet  Area,Not Ready Yet,5,BHK,IndependentFloor
1540,Dombivali East,650,54.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1541,Airoli,530,55.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1542,Dombivli (West),575,31.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1543,Borivali East,790,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1544,Juhu,2200,1250.0,Super built-up  Area,Ready To Move,4,BHK,Apartment
1545,Seawoods,550,58.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1546,Dundare,535,18.29,Super built-up  Area,Ready To Move,1,BHK,Apartment
1547,Badlapur West,610,18.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1556,Karjat,598,35.29,Built-up  Area,Ready To Move,2,BHK,Apartment
1557,Karjat,381,22.59,Super built-up  Area,Ready To Move,1,BHK,Apartment
1558,Taloja,386,27.96,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1559,Taloja,614,44.44,Built-up  Area,Ready To Move,2,BHK,Apartment
1560,Taloja,340,24.58,Super built-up  Area,Ready To Move,1,BHK,Apartment
1561,Taloja,447,32.32,Built-up  Area,Ready To Move,1,BHK,Apartment
1562,Karjat,827,42.84,Super built-up  Area,Ready To Move,3,BHK,Apartment
1563,Ulhasnagar,539,46.21,Super built-up  Area,Ready To Move,2,BHK,Apartment
1564,Ulhasnagar,365,29.02,Super built-up  Area,Ready To Move,1,BHK,Apartment
1565,kasaradavali thane west,900,73.0,Carpet  Area,Not Ready Yet,2,BHK,Apartment
1566,kasaradavali thane west,914,91.4,Super built-up  Area,Ready To Move,1,BHK,Apartment
1567,Badlapur West,1350,65.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1568,Malad West,550,83.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1569,Kandivali West,850,137.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1570,Mira Road East,630,62.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1571,Mira Road East,660,51.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1572,Mira Road East,630,58.21,Super built-up  Area,Ready To Move,1,BHK,Apartment
1573,Mira Road East,630,62.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1574,Powai,1180,340.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1575,Powai,1180,335.0,Built-up  Area,Ready To Move,3,BHK,Apartment
1576,Virar,650,33.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1577,Thane West,1300,130.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1578,Thane West,1026,215.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1579,Thane West,811,200.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1580,Mira Road East,625,60.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1581,Mira Road East,380,38.0,Super built-up  Area,Not Ready Yet,1,RK,StudioApartment
1582,Mira Road East,400,35.91,Built-up  Area,Ready To Move,1,RK,StudioApartment
1583,Mira Road East,630,58.21,Super built-up  Area,Ready To Move,1,BHK,Apartment
1584,Mira Road East,630,62.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1585,Kandivali West,850,118.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1586,Powai,1180,340.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1587,Powai,1180,335.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1588,Kharghar,2000,350.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1589,Kharghar,1750,180.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1590,Bhandup West,565,79.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1591,Kharghar,1206,90.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1592,Karanjade,2000,250.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1593,Karanjade,2000,250.0,Built-up  Area,Ready To Move,3,BHK,Apartment
1594,Bhandup West,800,110.00000000000001,Super built-up  Area,Ready To Move,2,BHK,Apartment
1595,kasaradavali thane west,900,73.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1596,kasaradavali thane west,914,91.4,Super built-up  Area,Ready To Move,1,BHK,Apartment
1597,Badlapur West,1350,65.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1598,Malad West,550,83.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1599,Kandivali West,850,137.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1600,Bhandup West,565,79.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1601,Bhandup West,800,110.00000000000001,Super built-up  Area,Ready To Move,2,BHK,Apartment
1602,Kharghar,1500,190.0,Built-up  Area,Ready To Move,3,BHK,Apartment
1603,Kharghar,1206,90.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1604,Karanjade,2000,250.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1605,Karanjade,2000,250.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1606,Thane West,1650,320.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1607,Bandra West,1100,400.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1608,Thane West,900,115.99999999999999,Super built-up  Area,Ready To Move,2,BHK,Apartment
1609,Thane West,600,88.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1610,Mulund West,1450,225.99999999999997,Plot  Area,Ready To Move,3,BHK,Apartment
1611,Mulund West,1170,185.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1612,Powai,1470,500.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1613,Kharghar,1225,150.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1614,Bandra West,1000,375.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1615,Borivali East,1500,360.0,Plot  Area,Ready To Move,3,BHK,Apartment
1616,Napeansea Road,850,350.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1617,Peddar Road,750,350.0,Plot  Area,Ready To Move,1,BHK,Apartment
1618,Chembur,1005,280.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1619,Chembur,1005,280.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1620,Naigaon East,750,35.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1621,LBS Marg,1600,275.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1622,Mulund West,1400,159.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1623,Mulund West,2000,252.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1624,Mulund West,2000,242.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1625,Mulund West,2000,234.0,Carpet  Area,Ready To Move,3,BHK,Apartment
1626,Mulund West,1900,214.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1627,Dahisar West,550,63.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1628,Goregaon East,600,79.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1629,Borivali West,1250,225.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1630,Andheri West,1050,161.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1631,Borivali West,600,98.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1632,Bhandup West,1294,110.00000000000001,Super built-up  Area,Ready To Move,2,BHK,Apartment
1633,Mulund West,2000,234.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1634,Mulund West,1900,214.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1635,Mulund West,1900,204.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1636,Mulund West,1900,196.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1637,Mulund West,1400,175.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1638,Mulund West,1400,165.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1639,Bhandup West,1085,147.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1640,Mulund West,1900,214.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1641,Mulund West,1400,159.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1642,Bhandup West,1085,147.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1643,Bhandup West,1085,147.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1644,Bhandup West,1000,146.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1645,Hiranandani Estates,635,68.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1646,Kurla,920,105.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1647,LBS Marg,1600,275.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1648,Mira Road East,388,63.24,Super built-up  Area,Ready To Move,1,BHK,Apartment
1649,Naigaon East,750,35.0,Built-up  Area,Not Ready Yet,1,BHK,Apartment
1650,Mulund West,2000,234.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1651,Mulund West,1900,214.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1652,Mulund West,1900,204.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1653,Mulund West,1900,196.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1654,Mulund West,1400,175.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1655,Mulund West,1400,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1656,Dombivli (West),1000,48.5,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1657,Dombivali East,800,38.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
1658,Bhandup West,500,55.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1659,Bhandup West,1000,192.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1660,Bhandup West,700,125.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1661,Bhandup West,1000,191.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1662,Thane West,1200,168.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1663,Kurla,1500,200.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1664,Bhandup West,1000,190.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1665,Kanjurmarg,800,111.00000000000001,Plot  Area,Ready To Move,2,BHK,Apartment
1666,Mulund West,1500,159.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1667,Mulund West,1900,204.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1668,Vichumbe,950,40.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1669,Mulund West,1800,196.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1670,Mulund West,1600,175.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1671,Agripada,1650,340.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1672,Mulund West,1600,165.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1673,Bhandup West,1300,121.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1674,Dombivali,455,20.49,Super built-up  Area,Ready To Move,1,RK,StudioApartment
1675,Dombivali,480,20.99,Plot  Area,Ready To Move,1,BHK,Apartment
1676,Kanjurmarg,1022,152.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1677,Dombivali,620,24.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
1678,Dombivali,830,33.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1679,Dombivali,650,25.99,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1680,Mira Road East,360,84.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1681,Mira Road East,640,145.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1682,Mira Road East,127,72.0,Plot  Area,Not Ready Yet,1,BHK,Apartment
1683,Mira Road East,643,150.0,Built-up  Area,Ready To Move,3,BHK,Apartment
1684,Mira Road East,327,76.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1685,Mira Road East,308,74.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1686,Mira Road East,357,82.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1687,Mira Road East,633,140.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1688,Mira Road East,339,77.0,Plot  Area,Ready To Move,1,BHK,Apartment
1689,Mira Road East,157,73.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1690,Mira Road East,506,105.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1691,Mira Road East,323,75.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1692,Mira Road East,527,110.00000000000001,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1693,Mira Road East,485,95.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1694,Mira Road East,349,80.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1695,Mira Road East,400,88.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1696,Mira Road East,347,79.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1697,Mira Road East,365,86.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1698,Mira Road East,417,89.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1699,Mira Road East,368,87.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1700,Dombivali,510,20.4,Super built-up  Area,Ready To Move,1,BHK,Apartment
1701,Dombivali,570,22.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
1702,Dombivali,800,32.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1703,Dombivali,725,30.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1704,Dombivali,415,18.49,Super built-up  Area,Ready To Move,1,RK,StudioApartment
1705,Dombivali,650,26.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1706,Dombivali,400,18.0,Super built-up  Area,Ready To Move,1,RK,StudioApartment
1707,Dombivali,930,59.99,Super built-up  Area,Ready To Move,2,BHK,Apartment
1708,Kanjurmarg,1022,152.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1709,Dombivali East,690,33.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1710,Dombivali East,770,31.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1711,Dombivali East,340,13.6,Super built-up  Area,Ready To Move,1,BHK,Apartment
1712,Kharghar,1205,137.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1713,Bhandup West,750,150.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1714,Mulund West,800,135.0,Super built-up  Area,Ready To Move,1,RK,StudioApartment
1715,Bhandup West,850,113.99999999999999,Super built-up  Area,Ready To Move,2,BHK,Apartment
1716,Bhandup West,750,150.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1717,Bhayandar East,1845,260.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1718,Bhayandar East,1025,160.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1719,Mira Road East,968,78.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1720,Dombivali,480,19.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1721,Dombivali,510,20.4,Plot  Area,Ready To Move,1,BHK,Apartment
1722,Dombivali,570,22.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
1723,Dombivali,800,32.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1724,Dombivali,725,30.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1725,Dombivali,415,18.49,Super built-up  Area,Not Ready Yet,1,RK,StudioApartment
1726,Dombivali,650,26.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1727,Dombivali,400,18.0,Super built-up  Area,Ready To Move,1,RK,StudioApartment
1728,Dombivali,930,59.99,Built-up  Area,Ready To Move,2,BHK,Apartment
1729,Kanjurmarg,1022,152.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1730,Dombivali East,690,33.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1731,Dombivali East,770,31.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1732,Dombivali East,340,13.6,Super built-up  Area,Ready To Move,1,BHK,Apartment
1733,Kharghar,1205,137.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1734,Bhandup West,750,150.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1735,Mulund West,800,135.0,Super built-up  Area,Not Ready Yet,1,RK,StudioApartment
1736,Bhandup West,850,113.99999999999999,Super built-up  Area,Ready To Move,2,BHK,Apartment
1737,Bhandup West,750,150.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1738,Bhiwandi,800,34.2,Super built-up  Area,Ready To Move,1,BHK,Apartment
1739,Dombivali,820,76.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1740,Bhandup East,600,80.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1741,Mulund West,2000,252.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
1742,Chembur,800,100.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1743,Rabale,650,60.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1744,Dombivali,820,76.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1745,Dombivali,800,42.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1746,Dombivali,660,31.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1747,Mira Road East,660,64.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1748,Mira Road East,660,65.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1749,Mira Road East,1100,85.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1750,Mira Road East,750,68.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1751,Mira Road East,750,65.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1752,Badlapur East,885,39.8,Super built-up  Area,Ready To Move,2,BHK,Apartment
1753,Bhayandar East,1080,85.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1754,Bhayandar East,740,69.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1755,Bhayandar East,740,68.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1756,Kandivali East,1250,235.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1757,Kandivali East,885,175.0,Plot  Area,Ready To Move,2,BHK,Apartment
1758,Borivali East,625,114.99999999999999,Super built-up  Area,Ready To Move,1,BHK,Apartment
1759,Wadala,815,223.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1760,Ulwe,400,32.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1761,Kandivali West,900,135.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1762,Malad West,450,51.5,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1763,Chembur,1000,125.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1764,Chembur,1200,170.0,Plot  Area,Ready To Move,2,BHK,Apartment
1765,Ulwe,660,40.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1766,Chembur,2450,345.0,Built-up  Area,Ready To Move,3,BHK,Apartment
1767,Ulwe,1010,60.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1768,Chembur,1000,129.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1769,Chembur,2300,420.0,Super built-up  Area,Not Ready Yet,4,BHK,Apartment
1770,Chembur,800,100.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1771,Rabale,650,60.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1772,Chembur,600,75.0,Super built-up  Area,Ready To Move,1,RK,StudioApartment
1773,Bhandup West,800,70.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1774,Bhandup East,600,75.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1775,Bhandup East,602,72.0,Super built-up  Area,Ready To Move,1,RK,StudioApartment
1776,Bhandup East,1000,125.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1777,Bhandup East,1000,120.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1778,Bhandup East,600,72.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1779,Bhandup West,1000,110.00000000000001,Super built-up  Area,Ready To Move,2,BHK,Apartment
1780,Mira Road East,730,59.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1781,Mira Road East,730,58.0,Built-up  Area,Ready To Move,1,BHK,Apartment
1782,Mira Road East,1000,99.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1783,Mira Road East,730,69.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1784,Mira Road East,795,68.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1785,Mira Road East,795,70.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
1786,Mira Road East,1300,150.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1787,Mira Road East,1100,105.0,Built-up  Area,Ready To Move,2,BHK,Apartment
1788,Mira Road East,730,73.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1789,Wadala,815,223.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
1790,Mira Road East,980,79.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
1791,Mira Road East,738,67.5,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
1792,Mira Road East,1120,118.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1793,Mira Road East,710,66.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
1794,Mira Road East,1010,94.0,Built-up  Area,Ready To Move,2,BHK,Apartment
