,Total sqft,price,bhk,type,housing_type,location_weight
1459,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1460,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1461,651,20.0,1,BHK,Apartment,1.1215718554613257
1462,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1463,651,20.0,1,BHK,Apartment,1.1215718554613257
1464,650,20.0,1,BHK,Apartment,1.1215718554613257
1465,1600,20.0,5,BHK,IndependentFloor,1.1215718554613257
1466,651,20.0,1,BHK,Apartment,1.1215718554613257
1467,651,20.0,1,BHK,Apartment,1.1215718554613257
1468,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1469,651,20.0,1,BHK,Apartment,1.1215718554613257
1470,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1471,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1472,651,20.0,1,BHK,Apartment,1.1215718554613257
1473,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1474,651,20.0,1,BHK,Apartment,1.1215718554613257
1475,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1476,651,20.0,1,BHK,Apartment,1.1215718554613257
1477,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1478,600,45.0,1,BHK,Apartment,0.9759397305049697
1479,651,20.0,1,BHK,Apartment,1.1215718554613257
1480,600,23.0,1,BHK,Apartment,1.2583704068595
1481,850,33.6,2,BHK,Apartment,1.2583704068595
1482,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1483,651,20.0,1,BHK,Apartment,1.1215718554613257
1484,1600,20.0,5,BHK,IndependentFloor,1.1215718554613257
1485,5500,2350.0,6,BHK,Apartment,52.91063527005093
1486,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1487,3300,1200.0,3,BHK,Apartment,18.599644635266014
1488,1600,20.0,5,BHK,IndependentFloor,1.1215718554613257
1489,788,30.0,1,BHK,Apartment,0.99373349499896
1490,1112,87.0,2,BHK,Apartment,1.7708119425031927
1491,651,20.0,1,BHK,Apartment,1.1215718554613257
1492,1600,20.0,5,BHK,IndependentFloor,1.1215718554613257
1493,1600,20.0,5,BHK,IndependentFloor,1.1215718554613257
1494,648,95.0,1,BHK,Apartment,3.158561803748916
1495,585,28.0,1,BHK,Apartment,0.991921239700342
1496,750,225.0,2,BHK,Apartment,4.68917582433518
1497,415,65.0,1,BHK,Apartment,5.626709358948703
1498,550,39.9,1,BHK,Apartment,1.2374091121339472
1499,784,33.0,1,BHK,Apartment,0.9605763458074845
1500,651,20.0,1,BHK,Apartment,1.1215718554613257
1501,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1502,651,20.0,1,BHK,Apartment,1.1215718554613257
1503,651,20.0,1,BHK,Apartment,1.1215718554613257
1504,700,89.0,1,BHK,Apartment,17.291551401429096
1505,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1506,510,28.05,1,BHK,Apartment,0.991921239700342
1507,510,28.05,1,BHK,Apartment,0.991921239700342
1508,651,20.0,1,BHK,Apartment,1.1215718554613257
1509,533,88.0,1,BHK,Apartment,3.359460120516756
1510,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1511,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1512,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1513,651,20.0,1,BHK,Apartment,1.1215718554613257
1514,651,20.0,1,BHK,Apartment,1.1215718554613257
1515,651,20.0,1,BHK,Apartment,1.1215718554613257
1516,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1517,250,55.0,1,BHK,Apartment,6.149800991706135
1518,420,95.0,1,BHK,Apartment,3.10853178573811
1519,810,64.0,2,BHK,Apartment,4.428371308499385
1520,640,23.0,1,BHK,Apartment,0.7192336235074379
1521,640,23.0,1,BHK,Apartment,0.7192336235074379
1522,651,20.0,1,BHK,Apartment,1.1215718554613257
1523,1200,32.0,1,BHK,Apartment,2.545315067828576
1524,640,23.0,1,BHK,Apartment,0.7192336235074379
1525,1200,32.0,1,BHK,Apartment,2.545315067828576
1526,1200,32.0,1,BHK,Apartment,2.545315067828576
1527,1200,32.0,1,BHK,Apartment,2.545315067828576
1528,1200,32.0,1,BHK,Apartment,2.545315067828576
1529,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1530,1300,399.0,3,BHK,Apartment,13.214595423921018
1531,651,20.0,1,BHK,Apartment,1.1215718554613257
1532,651,20.0,1,BHK,Apartment,1.1215718554613257
1533,715,165.0,2,BHK,Apartment,4.68917582433518
1534,715,165.0,2,BHK,Apartment,4.68917582433518
1535,715,165.0,2,BHK,Apartment,4.68917582433518
1536,715,165.0,2,BHK,Apartment,4.68917582433518
1537,715,165.0,2,BHK,Apartment,4.68917582433518
1538,715,165.0,2,BHK,Apartment,4.68917582433518
1539,1601,20.0,5,BHK,IndependentFloor,1.1215718554613257
1540,650,54.0,1,BHK,Apartment,0.991921239700342
1541,530,55.0,1,BHK,Apartment,2.9352394045122727
1542,575,31.0,1,BHK,Apartment,0.9759397305049697
1543,790,165.0,2,BHK,Apartment,4.55273163898339
1544,2200,1250.0,4,BHK,Apartment,52.91063527005093
1545,550,58.0,1,BHK,Apartment,6.234852022324505
1546,535,18.29,1,BHK,Apartment,0.5276499232873056
1547,610,18.0,1,BHK,Apartment,0.7192336235074379
1556,598,35.29,2,BHK,Apartment,0.6359944999257618
1557,381,22.59,1,BHK,Apartment,0.6359944999257618
1558,386,27.96,1,BHK,Apartment,1.2583704068595
1559,614,44.44,2,BHK,Apartment,1.2583704068595
1560,340,24.58,1,BHK,Apartment,1.2583704068595
1561,447,32.32,1,BHK,Apartment,1.2583704068595
1562,827,42.84,3,BHK,Apartment,0.6359944999257618
1563,539,46.21,2,BHK,Apartment,1.1611967180308187
1564,365,29.02,1,BHK,Apartment,1.1611967180308187
1565,900,73.0,2,BHK,Apartment,2.3847641918484426
1566,914,91.4,1,BHK,Apartment,2.3847641918484426
1567,1350,65.0,3,BHK,Apartment,0.7192336235074379
1568,550,83.0,1,BHK,Apartment,4.063829602109092
1569,850,137.0,2,BHK,Apartment,3.9654561967950004
1570,630,62.0,1,BHK,Apartment,2.948147884164289
1571,660,51.0,1,BHK,Apartment,2.948147884164289
1572,630,58.21,1,BHK,Apartment,2.948147884164289
1573,630,62.0,1,BHK,Apartment,2.948147884164289
1574,1180,340.0,3,BHK,Apartment,8.437249849909946
1575,1180,335.0,3,BHK,Apartment,8.437249849909946
1576,650,33.0,1,BHK,Apartment,1.39896883113687
1577,1300,130.0,3,BHK,Apartment,3.6308651857781338
1578,1026,215.0,3,BHK,Apartment,3.6308651857781338
1579,811,200.0,2,BHK,Apartment,3.6308651857781338
1580,625,60.0,1,BHK,Apartment,2.948147884164289
1581,380,38.0,1,RK,StudioApartment,2.948147884164289
1582,400,35.91,1,RK,StudioApartment,2.948147884164289
1583,630,58.21,1,BHK,Apartment,2.948147884164289
1584,630,62.0,1,BHK,Apartment,2.948147884164289
1585,850,118.0,2,BHK,Apartment,3.9654561967950004
1586,1180,340.0,3,BHK,Apartment,8.437249849909946
1587,1180,335.0,3,BHK,Apartment,8.437249849909946
1588,2000,350.0,3,BHK,Apartment,4.558281067931539
1589,1750,180.0,3,BHK,Apartment,4.558281067931539
1590,565,79.0,1,BHK,Apartment,3.516022657072505
1591,1206,90.0,2,BHK,Apartment,4.558281067931539
1592,2000,250.0,3,BHK,Apartment,2.545315067828576
1593,2000,250.0,3,BHK,Apartment,2.545315067828576
1594,800,110.00000000000001,2,BHK,Apartment,3.516022657072505
1595,900,73.0,2,BHK,Apartment,2.3847641918484426
1596,914,91.4,1,BHK,Apartment,2.3847641918484426
1597,1350,65.0,3,BHK,Apartment,0.7192336235074379
1598,550,83.0,1,BHK,Apartment,4.063829602109092
1599,850,137.0,2,BHK,Apartment,3.9654561967950004
1600,565,79.0,1,BHK,Apartment,3.516022657072505
1601,800,110.00000000000001,2,BHK,Apartment,3.516022657072505
1602,1500,190.0,3,BHK,Apartment,4.558281067931539
1603,1206,90.0,2,BHK,Apartment,4.558281067931539
1604,2000,250.0,3,BHK,Apartment,2.545315067828576
1605,2000,250.0,3,BHK,Apartment,2.545315067828576
1606,1650,320.0,3,BHK,Apartment,3.6308651857781338
1607,1100,400.0,2,BHK,Apartment,15.471687384015109
1608,900,115.99999999999999,2,BHK,Apartment,3.6308651857781338
1609,600,88.0,1,BHK,Apartment,3.6308651857781338
1610,1450,225.99999999999997,3,BHK,Apartment,5.993596157694617
1611,1170,185.0,2,BHK,Apartment,5.993596157694617
1612,1470,500.0,3,BHK,Apartment,8.437249849909946
1613,1225,150.0,2,BHK,Apartment,4.558281067931539
1614,1000,375.0,2,BHK,Apartment,15.471687384015109
1615,1500,360.0,3,BHK,Apartment,4.55273163898339
1616,850,350.0,2,BHK,Apartment,32.7040668845752
1617,750,350.0,1,BHK,Apartment,11.580281502234675
1618,1005,280.0,3,BHK,Apartment,5.739456745942991
1619,1005,280.0,3,BHK,Apartment,5.739456745942991
1620,750,35.0,1,BHK,Apartment,1.1838134626807832
1621,1600,275.0,2,BHK,Apartment,9.07878060169435
1622,1400,159.0,2,BHK,Apartment,5.993596157694617
1623,2000,252.0,3,BHK,Apartment,5.993596157694617
1624,2000,242.0,3,BHK,Apartment,5.993596157694617
1625,2000,234.0,3,BHK,Apartment,5.993596157694617
1626,1900,214.0,3,BHK,Apartment,5.993596157694617
1627,550,63.0,1,BHK,Apartment,3.10853178573811
1628,600,79.0,1,BHK,Apartment,17.291551401429096
1629,1250,225.0,3,BHK,Apartment,4.428371308499385
1630,1050,161.0,2,BHK,Apartment,1.1215718554613257
1631,600,98.0,1,BHK,Apartment,4.428371308499385
1632,1294,110.00000000000001,2,BHK,Apartment,3.516022657072505
1633,2000,234.0,3,BHK,Apartment,5.993596157694617
1634,1900,214.0,3,BHK,Apartment,5.993596157694617
1635,1900,204.0,3,BHK,Apartment,5.993596157694617
1636,1900,196.0,3,BHK,Apartment,5.993596157694617
1637,1400,175.0,2,BHK,Apartment,5.993596157694617
1638,1400,165.0,2,BHK,Apartment,5.993596157694617
1639,1085,147.0,2,BHK,Apartment,3.516022657072505
1640,1900,214.0,3,BHK,Apartment,5.993596157694617
1641,1400,159.0,2,BHK,Apartment,5.993596157694617
1642,1085,147.0,2,BHK,Apartment,3.516022657072505
1643,1085,147.0,2,BHK,Apartment,3.516022657072505
1644,1000,146.0,2,BHK,Apartment,3.516022657072505
1645,635,68.0,1,BHK,Apartment,2.1746381162030555
1646,920,105.0,2,BHK,Apartment,3.8842194205412137
1647,1600,275.0,2,BHK,Apartment,9.07878060169435
1648,388,63.24,1,BHK,Apartment,2.948147884164289
1649,750,35.0,1,BHK,Apartment,1.1838134626807832
1650,2000,234.0,3,BHK,Apartment,5.993596157694617
1651,1900,214.0,3,BHK,Apartment,5.993596157694617
1652,1900,204.0,3,BHK,Apartment,5.993596157694617
1653,1900,196.0,3,BHK,Apartment,5.993596157694617
1654,1400,175.0,2,BHK,Apartment,5.993596157694617
1655,1400,165.0,2,BHK,Apartment,5.993596157694617
1656,1000,48.5,2,BHK,Apartment,0.9759397305049697
1657,800,38.5,1,BHK,Apartment,0.991921239700342
1658,500,55.0,1,BHK,Apartment,3.516022657072505
1659,1000,192.0,2,BHK,Apartment,3.516022657072505
1660,700,125.0,2,BHK,Apartment,3.516022657072505
1661,1000,191.0,2,BHK,Apartment,3.516022657072505
1662,1200,168.0,3,BHK,Apartment,3.6308651857781338
1663,1500,200.0,2,BHK,Apartment,3.8842194205412137
1664,1000,190.0,2,BHK,Apartment,3.516022657072505
1665,800,111.00000000000001,2,BHK,Apartment,4.920730215907322
1666,1500,159.0,2,BHK,Apartment,5.993596157694617
1667,1900,204.0,3,BHK,Apartment,5.993596157694617
1668,950,40.0,2,BHK,Apartment,1.5576012274031088
1669,1800,196.0,3,BHK,Apartment,5.993596157694617
1670,1600,175.0,2,BHK,Apartment,5.993596157694617
1671,1650,340.0,2,BHK,Apartment,17.24664428286602
1672,1600,165.0,2,BHK,Apartment,5.993596157694617
1673,1300,121.0,2,BHK,Apartment,3.516022657072505
1674,455,20.49,1,RK,StudioApartment,1.7708119425031927
1675,480,20.99,1,BHK,Apartment,1.7708119425031927
1676,1022,152.0,1,BHK,Apartment,4.920730215907322
1677,620,24.99,1,BHK,Apartment,1.7708119425031927
1678,830,33.0,2,BHK,Apartment,1.7708119425031927
1679,650,25.99,1,BHK,Apartment,1.7708119425031927
1680,360,84.0,1,BHK,Apartment,2.948147884164289
1681,640,145.0,3,BHK,Apartment,2.948147884164289
1682,127,72.0,1,BHK,Apartment,2.948147884164289
1683,643,150.0,3,BHK,Apartment,2.948147884164289
1684,327,76.0,1,BHK,Apartment,2.948147884164289
1685,308,74.0,1,BHK,Apartment,2.948147884164289
1686,357,82.0,1,BHK,Apartment,2.948147884164289
1687,633,140.0,3,BHK,Apartment,2.948147884164289
1688,339,77.0,1,BHK,Apartment,2.948147884164289
1689,157,73.0,1,BHK,Apartment,2.948147884164289
1690,506,105.0,2,BHK,Apartment,2.948147884164289
1691,323,75.0,1,BHK,Apartment,2.948147884164289
1692,527,110.00000000000001,2,BHK,Apartment,2.948147884164289
1693,485,95.0,2,BHK,Apartment,2.948147884164289
1694,349,80.0,1,BHK,Apartment,2.948147884164289
1695,400,88.0,1,BHK,Apartment,2.948147884164289
1696,347,79.0,1,BHK,Apartment,2.948147884164289
1697,365,86.0,1,BHK,Apartment,2.948147884164289
1698,417,89.0,1,BHK,Apartment,2.948147884164289
1699,368,87.0,1,BHK,Apartment,2.948147884164289
1700,510,20.4,1,BHK,Apartment,1.7708119425031927
1701,570,22.8,1,BHK,Apartment,1.7708119425031927
1702,800,32.0,2,BHK,Apartment,1.7708119425031927
1703,725,30.0,2,BHK,Apartment,1.7708119425031927
1704,415,18.49,1,RK,StudioApartment,1.7708119425031927
1705,650,26.0,1,BHK,Apartment,1.7708119425031927
1706,400,18.0,1,RK,StudioApartment,1.7708119425031927
1707,930,59.99,2,BHK,Apartment,1.7708119425031927
1708,1022,152.0,2,BHK,Apartment,4.920730215907322
1709,690,33.0,1,BHK,Apartment,0.991921239700342
1710,770,31.0,2,BHK,Apartment,0.991921239700342
1711,340,13.6,1,BHK,Apartment,0.991921239700342
1712,1205,137.0,2,BHK,Apartment,4.558281067931539
1713,750,150.0,2,BHK,Apartment,3.516022657072505
1714,800,135.0,1,RK,StudioApartment,5.993596157694617
1715,850,113.99999999999999,2,BHK,Apartment,3.516022657072505
1716,750,150.0,2,BHK,Apartment,3.516022657072505
1717,1845,260.0,3,BHK,Apartment,3.2039594126846485
1718,1025,160.0,2,BHK,Apartment,3.2039594126846485
1719,968,78.0,2,BHK,Apartment,2.948147884164289
1720,480,19.0,1,BHK,Apartment,1.7708119425031927
1721,510,20.4,1,BHK,Apartment,1.7708119425031927
1722,570,22.8,1,BHK,Apartment,1.7708119425031927
1723,800,32.0,2,BHK,Apartment,1.7708119425031927
1724,725,30.0,2,BHK,Apartment,1.7708119425031927
1725,415,18.49,1,RK,StudioApartment,1.7708119425031927
1726,650,26.0,1,BHK,Apartment,1.7708119425031927
1727,400,18.0,1,RK,StudioApartment,1.7708119425031927
1728,930,59.99,2,BHK,Apartment,1.7708119425031927
1729,1022,152.0,2,BHK,Apartment,4.920730215907322
1730,690,33.0,1,BHK,Apartment,0.991921239700342
1731,770,31.0,2,BHK,Apartment,0.991921239700342
1732,340,13.6,1,BHK,Apartment,0.991921239700342
1733,1205,137.0,2,BHK,Apartment,4.558281067931539
1734,750,150.0,2,BHK,Apartment,3.516022657072505
1735,800,135.0,1,RK,StudioApartment,5.993596157694617
1736,850,113.99999999999999,2,BHK,Apartment,3.516022657072505
1737,750,150.0,2,BHK,Apartment,3.516022657072505
1738,800,34.2,1,BHK,Apartment,1.1215777085298801
1739,820,76.0,2,BHK,Apartment,1.7708119425031927
1740,600,80.0,1,BHK,Apartment,3.0418250950570345
1741,2000,252.0,3,BHK,Apartment,5.993596157694617
1742,800,100.0,1,BHK,Apartment,5.739456745942991
1743,650,60.0,1,BHK,Apartment,1.9078113534787542
1744,820,76.0,2,BHK,Apartment,1.7708119425031927
1745,800,42.0,2,BHK,Apartment,1.7708119425031927
1746,660,31.0,1,BHK,Apartment,1.7708119425031927
1747,660,64.0,1,BHK,Apartment,2.948147884164289
1748,660,65.0,1,BHK,Apartment,2.948147884164289
1749,1100,85.0,2,BHK,Apartment,2.948147884164289
1750,750,68.0,1,BHK,Apartment,2.948147884164289
1751,750,65.0,1,BHK,Apartment,2.948147884164289
1752,885,39.8,2,BHK,Apartment,1.1082983123207257
