size,Location,Total sqft,price_sqft,price,area_type,availability
2 BHK Apartment,Malad East,592,"22,800",1.34 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Vangani,489,"2,699",13.19 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Malad East,435,"23,218",1 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Kurla,540,"21,425",1.15 Cr,Super built-up  Area,Ready To Move
R,kasaradavali thane west,1000,500,5 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Titwala,598,"6,605",39.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Diva,699,"5,320",37.19 L,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Diva,465,"5,159",23.99 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Diva,713,"5,328",37.99 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Kamothe,515,"14,563",75 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Thane West,679,"18,262",1.24 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Thane West,887,"21,082",1.87 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhiwandi,1045,"5,200",54.34 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhiwandi,690,"5,200",35.88 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Bhiwandi,1085,"5,200",56.42 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Bhiwandi,1060,"5,200",55.12 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Bhiwandi,795,"5,200",41.34 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Virar,692,"7,659",53 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Virar,487,"7,597",36.99 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,440,"21,708",95.51 L,Built-up  Area,Ready To Move
2 BHK Apartment,Dahisar,650,"22,400",1.45 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Thane West,644,"23,913",1.54 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Diva,936,"5,501",51.49 L,Super built-up  Area,Not Ready Yet
1 RK Studio Apartment,Diva,445,"5,166",22.99 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Neral,408,"6,199",25.29 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Kandivali West,398,"32,663",1.3 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Kandivali West,632,"31,645",2 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Malad East,625,"22,500",1.4 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad East,580,"22,500",1.3 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad East,710,"22,500",1.59 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad East,618,"22,500",1.39 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Powai,770,"38,461",2.96 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Powai,1232,"38,461",4.73 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Powai,767,"38,461",2.94 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,374,"21,500",80.41 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,425,"21,500",91.37 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,416,"21,500",89.44 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Dahisar,438,"21,500",94.17 L,Super built-up  Area,Ready To Move
